name,calories_per_hour,duration_minutes,total_calories
"Running, 5 mph (12 minute mile)",581,60,581
"Running, 5.2 mph (11.5 minute mile)",653,60,653
"Running, 6 mph (10 min mile)",726,60,726
"Running, 6.7 mph (9 min mile)",799,60,799
"Running, 7 mph (8.5 min mile)",835,60,835
"Running, 7.5mph (8 min mile)",908,60,908
"Running, 8 mph (7.5 min mile)",980,60,980
"Running, 8.6 mph (7 min mile)",1016,60,1016
"Running, 9 mph (6.5 min mile)",1089,60,1089
"Running, 10 mph (6 min mile)",1162,60,1162
"Swimming laps, freestyle, fast",726,60,726
"Swimming laps, freestyle, slow",508,60,508
Swimming backstroke,508,60,508
Swimming breaststroke,726,60,726
Swimming butterfly,799,60,799
"Swimming leisurely, not laps",435,60,435
Swimming sidestroke,581,60,581
Swimming synchronized,581,60,581
"Swimming, treading water, fast, vigorous",726,60,726
"Swimming, treading water, moderate",290,60,290
"Cycling, mountain bike, bmx",617,60,617
"Cycling, <10 mph, leisure bicycling",290,60,290
"Cycling, >20 mph, racing",1162,60,1162
"Cycling, 10-11.9 mph, light",435,60,435
"Cycling, 12-13.9 mph, moderate",581,60,581
"Cycling, 14-15.9 mph, vigorous",726,60,726
"Cycling, 16-19 mph, very fast, racing",871,60,871
Unicycling,363,60,363
"Stationary cycling, very light",217,60,217
"Stationary cycling, light",399,60,399
"Golf, walking and carrying clubs",327,60,327
"Golf, walking and pulling clubs",312,60,312
"Horseback riding, walking",181,60,181
Walking downstairs,217,60,217
Pushing stroller or walking with children,181,60,181
Race walking,472,60,472
Walking using crutches,363,60,363
Walking the dog,217,60,217
"Walking, under 2.0 mph, very slow",145,60,145
"Walking 2.0 mph, slow",181,60,181
"Backpacking, Hiking with pack",508,60,508
"Hiking, cross country",435,60,435
"Ballroom dancing, slow",217,60,217
"Ballroom dancing, fast",399,60,399
"Stretching, hatha yoga",290,60,290
"Rowing machine, light",254,60,254
"Rowing machine, moderate",508,60,508
"Rowing machine, vigorous",617,60,617
"Rowing machine, very vigorous",871,60,871
"Canoeing, rowing, light",217,60,217
"Canoeing, rowing, moderate",508,60,508
"Canoeing, rowing, vigorous",871,60,871
"Crew, sculling, rowing, competition",871,60,871
Kayaking,363,60,363
"Whitewater rafting, kayaking, canoeing",363,60,363
"Canoeing, camping trip",290,60,290
"Canoeing, rowing, light",217,60,217
"Canoeing, rowing, moderate",508,60,508
"Canoeing, rowing, vigorous",871,60,871
"Whitewater rafting, kayaking, canoeing",363,60,363
"Rock climbing, ascending rock",799,60,799
"Rock climbing, rappelling",581,60,581
"Rock climbing, mountain climbing",581,60,581
"Ice skating, < 9 mph",399,60,399
"Ice skating, average speed",508,60,508
"Ice skating, rapidly",653,60,653
Roller skating,508,60,508
"Skiing, water skiing",435,60,435
"Cross country snow skiing, slow",508,60,508
"Cross country skiing, moderate",581,60,581
"Cross country skiing, vigorous",653,60,653
"Cross country skiing, racing",1016,60,1016
"Cross country skiing, uphill",1198,60,1198
"Snow skiing, downhill skiing, light",363,60,363
"Downhill snow skiing, moderate",435,60,435
"Downhill snow skiing, racing",581,60,581
"Windsurfing, sailing",217,60,217
"Surfing, body surfing or board surfing",217,60,217
"Windsurfing, sailing",217,60,217
"Horseback riding, grooming horse",254,60,254
"Horseback riding, trotting",472,60,472
"Horseback riding, walking",181,60,181
"Martial arts, judo, karate, jujitsu",726,60,726
"Martial arts, kick boxing",726,60,726
"Martial arts, tae kwan do",726,60,726
Tai chi,290,60,290
Gymnastics,290,60,290
"Boxing, in ring",871,60,871
"Boxing, punching bag",435,60,435
"Boxing, sparring",653,60,653
"Martial arts, kick boxing",726,60,726
"Martial arts, judo, karate, jujitsu",726,60,726
"Martial arts, judo, karate, jujitsu",726,60,726
Wrestling,435,60,435
Fencing,435,60,435
Archery,254,60,254
"Basketball, shooting baskets",327,60,327
Darts (wall or lawn),181,60,181
Badminton,327,60,327
"Table tennis, ping pong",290,60,290
Playing tennis,508,60,508
"Tennis, doubles",435,60,435
"Tennis, singles",581,60,581
"Table tennis, ping pong",290,60,290
Squash,871,60,871
"Racquetball, competitive",726,60,726
Playing racquetball,508,60,508
"Basketball game, competitive",581,60,581
"Playing basketball, non game",435,60,435
"Basketball, officiating",508,60,508
"Basketball, shooting baskets",327,60,327
"Basketball, wheelchair",472,60,472
"Coaching: football, basketball, soccer…",290,60,290
"Coaching: football, basketball, soccer…",290,60,290
"Football, competitive",653,60,653
"Football, touch, flag, general",581,60,581
"Football or baseball, playing catch",181,60,181
"Coaching: football, basketball, soccer…",290,60,290
"Soccer, competitive",726,60,726
Playing soccer,508,60,508
"Volleyball, competitive",581,60,581
Playing volleyball,217,60,217
"Volleyball, beach",581,60,581
Water volleyball,217,60,217
"Football or baseball, playing catch",181,60,181
Softball or baseball,363,60,363
Softball or baseball,363,60,363
"Softball, officiating",290,60,290
"Softball, pitching",435,60,435
"Cricket (batting, bowling)",363,60,363
Rugby,726,60,726
Lacrosse,581,60,581
"Hockey, field hockey",581,60,581
"Hockey, ice hockey",581,60,581
"Golf, general",327,60,327
"Golf, walking and carrying clubs",327,60,327
"Golf, driving range",217,60,217
"Golf, miniature golf",217,60,217
"Golf, walking and pulling clubs",312,60,312
"Golf, using power cart",254,60,254
"Frisbee playing, general",217,60,217
"Frisbee, ultimate frisbee",581,60,581
"Frisbee, ultimate frisbee",581,60,581
Bowling,217,60,217
"Cricket (batting, bowling)",363,60,363
"Shuffleboard, lawn bowling",217,60,217
Skateboarding,363,60,363
Handball,871,60,871
"Handball, team",581,60,581
"Children's games, hopscotch, dodgeball",363,60,363
Trampoline,254,60,254
Orienteering,653,60,653
"Skin diving, scuba diving",508,60,508
Snorkeling,363,60,363
"Windsurfing, sailing",217,60,217
"Sailing, competition",363,60,363
"Sailing, yachting, ocean sailing",217,60,217
Water polo,726,60,726
"Rowing machine, light",254,60,254
"Rowing machine, moderate",508,60,508
"Rowing machine, vigorous",617,60,617
"Rowing machine, very vigorous",871,60,871
"Stationary cycling, very light",217,60,217
"Stationary cycling, light",399,60,399
"Stationary cycling, moderate",508,60,508
"Stationary cycling, vigorous",762,60,762
"Stationary cycling, very vigorous",908,60,908
Water aerobics,290,60,290
"Water aerobics, water calisthenics",290,60,290
"Ballet, twist, jazz, tap",327,60,327
"Ballroom dancing, slow",217,60,217
"Ballroom dancing, fast",399,60,399
"Aerobics, step aerobics",617,60,617
Jazzercise,435,60,435
"Stretching, hatha yoga",290,60,290
Mild stretching,181,60,181
"Calisthenics, vigorous, pushups, situps…",581,60,581
"Calisthenics, light",254,60,254
"Water aerobics, water calisthenics",290,60,290
"Stretching, hatha yoga",290,60,290
Polo,581,60,581
Water polo,726,60,726
"Cycling, mountain bike, bmx",617,60,617
"Track and field (shot, discus)",290,60,290
"Track and field (high jump, pole vault)",435,60,435
Track and field (hurdles),726,60,726
"Track and field (high jump, pole vault)",435,60,435
"Track and field (high jump, pole vault)",435,60,435
Krav maga training,726,60,726
